,VEIC,DTHR,COD_LINHA,coords,nearest,idx,distances
696413,BL300,2023-05-02 22:09:41-03:00,022,"(-25.414223, -49.265963)","[-25.41413696032526, -49.26598540169516]",0.9154078549848943,9.794243271051787
696414,BL300,2023-05-02 22:09:31-03:00,022,"(-25.414916, -49.266163)","[-25.414730485882355, -49.26613371028486]",0.9144008056394763,20.761280733813003
696415,BL300,2023-05-02 22:09:26-03:00,022,"(-25.415363, -49.266263)","[-25.41516276449815, -49.26623921289763]",0.9133937562940584,22.310634847304378
696416,BL300,2023-05-02 22:08:56-03:00,022,"(-25.415645, -49.266321)","[-25.415749180785163, -49.26638200208629]",0.9123867069486404,13.07142752801202
696417,BL300,2023-05-02 22:08:51-03:00,022,"(-25.415821, -49.266363)","[-25.415749180785163, -49.26638200208629]",0.9123867069486404,8.182533072841158
696418,BL300,2023-05-02 22:08:46-03:00,022,"(-25.416206, -49.266423)","[-25.416326973433822, -49.26651733114295]",0.9103726082578046,16.421431633242822
696419,BL300,2023-05-02 22:08:41-03:00,022,"(-25.416498, -49.266521)","[-25.416453944465932, -49.26656072002788]",0.9093655589123867,6.307740814422852
696420,BL300,2023-05-02 22:08:36-03:00,022,"(-25.416641, -49.26696)","[-25.416673078502193, -49.26705353058378]",0.9063444108761329,10.058488348715596
696421,BL300,2023-05-02 22:08:31-03:00,022,"(-25.41665, -49.26755)","[-25.41667072261179, -49.2675359327543]",0.9033232628398792,2.6968315197855786
696422,BL300,2023-05-02 22:08:01-03:00,022,"(-25.4184, -49.268605)","[-25.418200520538626, -49.26860447883609]",0.8942598187311178,22.098227915727165
696423,BL300,2023-05-02 22:07:56-03:00,022,"(-25.418703, -49.268683)","[-25.418698973571363, -49.26871982331136]",0.8932527693856999,3.731375844437462
696424,BL300,2023-05-02 22:07:46-03:00,022,"(-25.418701, -49.269288)","[-25.418828158441055, -49.268990387993995]",0.8912386706948641,33.08946585063546
696425,BL300,2023-05-02 22:07:36-03:00,022,"(-25.418661, -49.269486)","[-25.418602737522047, -49.26977939816493]",0.8902316213494461,30.214830840200694
